standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide
COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(C)cc2)C1=O,1.9364345932790028,HIT105967800,COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(C)cc2)C1=O,-9.1,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:1317,COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(C)cc2)C1=O,-6.89455
COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(F)cc2)C1=O,1.9573023203719282,HIT100810185,COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(F)cc2)C1=O,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:1344,COc1ccc(C)cc1NC1=C(Sc2cccc(NC(=O)CCc3ccccc3)c2)C(=O)N(c2ccc(F)cc2)C1=O,-7.08677
O=C(Nc1ccccc1F)c1oc2ccccc2c1NC(=O)C1c2ccccc2Oc2ccccc21,1.373829699437144,HIT101766885,O=C(Nc1ccccc1F)c1oc2ccccc2c1NC(=O)C1c2ccccc2Oc2ccccc21,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:35816,O=C(Nc1ccccc1F)c1oc2ccccc2c1NC(=O)C1c2ccccc2Oc2ccccc21,-5.91859
Cc1cccc(-c2nc(SCC(=O)Nc3ccc4c(c3)OCCO4)c(-c3ccccc3)[nH]2)c1,2.2849101664590408,HIT102038175,Cc1cccc(-c2nc(SCC(=O)Nc3ccc4c(c3)OCCO4)c(-c3ccccc3)[nH]2)c1,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_7.sdf:39459,Cc1cccc(-c2nc(SCC(=O)Nc3ccc4c(c3)OCCO4)c(-c3ccccc3)[nH]2)c1,-6.77793
COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccccc3-c3cc(C)nn32)cc1OC,0.402478072517179,HIT102867091,COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccccc3-c3cc(C)nn32)cc1OC,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:26152,COc1ccc(-c2nn(-c3ccccc3)cc2[C@H]2Nc3ccccc3-c3cc(C)nn32)cc1OC,-6.43637
CCNC(=O)N1CCc2c([nH]c3ccc(C)cc23)C12C(=O)N(C)c1ccccc12,1.1966849781360804,HIT103123639,CCNC(=O)N1CCc2c([nH]c3ccc(C)cc23)C12C(=O)N(C)c1ccccc12,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:4020,CCNC(=O)N1CCc2c([nH]c3ccc(C)cc23)[C@@]12C(=O)N(C)c1ccccc12,-5.89519
O=c1nc2sc(=Cc3cn(-c4ccccc4)nc3-c3cccc([N+](=O)[O-])c3)c(=O)n2nc1-c1ccccc1,0.36637298222612347,HIT103343828,O=c1nc2s/c(=C\c3cn(-c4ccccc4)nc3-c3cccc([N+](=O)[O-])c3)c(=O)n2nc1-c1ccccc1,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:2701,O=c1nc2s/c(=C\c3cn(-c4ccccc4)nc3-c3cccc([N+](=O)[O-])c3)c(=O)n2nc1-c1ccccc1,-6.17038
Cc1ccc(-c2cc(-c3ccc(C)c(C)c3)n(Cc3cccc(C(F)(F)F)c3)n2)cc1C,2.3369607160663817,HIT103476031,Cc1ccc(-c2cc(-c3ccc(C)c(C)c3)n(Cc3cccc(C(F)(F)F)c3)n2)cc1C,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_7.sdf:38431,Cc1ccc(-c2cc(-c3ccc(C)c(C)c3)n(Cc3cccc(C(F)(F)F)c3)n2)cc1C,-6.04762
Cc1ccc(C2CC(C(F)(F)F)n3nc(-c4nc5c6cnn(C)c6ncn5n4)cc3N2)cc1C,1.5560506357064194,HIT103659635,Cc1ccc(C2CC(C(F)(F)F)n3nc(-c4nc5c6cnn(C)c6ncn5n4)cc3N2)cc1C,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_7.sdf:19571,Cc1ccc([C@@H]2C[C@@H](C(F)(F)F)n3nc(-c4nc5c6cnn(C)c6ncn5n4)cc3N2)cc1C,-6.54376
O=C(Nc1ccc(Br)cc1C(=O)c1ccccc1)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,2.4453084648148664,HIT104542172,O=C(Nc1ccc(Br)cc1C(=O)c1ccccc1)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_1.sdf:2892,O=C(Nc1ccc(Br)cc1C(=O)c1ccccc1)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,-6.65446
